scale_factor,background,allocstall_movable,read_50th,read_99th,write_50th,write_99th
10,90,85,772,6304,454,4048
10,99,97,836,6624,458,4192
100,90,101,772,6112,438,3856
100,99,28,820,6432,450,4128
250,90,2,788,6048,442,3952
250,99,3,916,7200,532,4384
500,90,1,828,6368,524,4128
500,99,0,972,7776,540,4384
750,90,1,860,6688,458,3984
750,99,0,860,6432,502,4320
900,90,0,932,6944,532,4512
900,99,0,1032,7648,636,4576
1000,90,1,988,7456,588,4640
1000,99,3,1012,7648,572,4768
